club,elo
Paris SG,1826.9007205052194
Inter,1795.4653083874648
Bayern Munich,1791.5049316662557
Barcelona,1788.2882975786877
Real Madrid,1774.6976257476506
Liverpool,1757.5902290513413
Man City,1752.1589226228418
Leverkusen,1747.2513680131437
Arsenal,1745.4755387878229
Napoli,1715.2203894759134
Atalanta,1701.1973558189088
Ath Madrid,1690.3432567019654
Juventus,1690.0685800231936
Roma,1685.224242477007
Dortmund,1662.8399811014733
Monaco,1661.7984869084503
Milan,1661.321969102649
Lille,1650.1554930869736
Ath Bilbao,1647.8697413109592
Marseille,1645.0200508947414
Nice,1644.6315987972796
Chelsea,1643.7955120292959
Villarreal,1641.6622455517243
Lazio,1639.3884486824243
Fiorentina,1634.6414837853079
Lyon,1631.3081532907386
Aston Villa,1629.3868455885026
Newcastle,1627.4721456851662
Bologna,1627.2276629109099
Ein Frankfurt,1617.5158566271582
RB Leipzig,1610.1940369561662
Stuttgart,1602.6814610128924
Strasbourg,1594.4808479509877
Lens,1593.9747121122944
Betis,1588.3460396157318
Brighton,1587.9719529040153
Crystal Palace,1585.5080257733373
Mainz,1571.3281286878039
Brest,1569.1809874218482
Freiburg,1559.8815819562415
Brentford,1559.7439291129913
Nott'm Forest,1559.04683571003
Bournemouth,1552.924174105869
Everton,1546.27912910908
Werder Bremen,1545.7951221987603
Como,1542.8796416988914
Rennes,1536.872471174176
Osasuna,1535.334293755471
Fulham,1533.9587803898646
Celta,1529.5871465646737
Torino,1527.2080984195948
Toulouse,1522.033991527615
Valencia,1514.975991616838
Genoa,1512.407500240109
Man United,1508.1609569354264
Sociedad,1507.3771214819815
Wolfsburg,1505.7789208013444
Auxerre,1502.8215995678133
Vallecano,1501.4313050876751
M'gladbach,1493.0637505822463
Girona,1489.8468101162625
West Ham,1487.2087522880956
Augsburg,1485.8736810535459
Tottenham,1483.8256862821427
Union Berlin,1482.944192031285
Wolves,1481.1900709434403
Alaves,1476.4205457400503
Mallorca,1474.9236116776501
Udinese,1472.2192874849436
Hoffenheim,1468.4781767305765
Sevilla,1465.2789341363448
Reims,1464.2653756643408
Espanol,1462.5758390657986
Nantes,1462.1850410080642
St Pauli,1461.2785809908996
Frosinone,1455.1889000591239
Getafe,1454.8474315353917
Leganes,1454.308767350535
Cagliari,1445.0844953946785
Verona,1444.7604810355735
Levante,1443.7107725322273
Lorient,1443.6756878166912
Le Havre,1443.6309898059958
Heidenheim,1441.5639829486772
Huesca,1437.9292072742803
FC Koln,1434.8010066795528
Clermont,1433.4555556590906
Lecce,1433.4523551140437
Cremonese,1429.0455018331947
Holstein Kiel,1427.9930143236302
Amiens,1426.4136362558997
Parma,1424.4741016998164
Fortuna Dusseldorf,1422.2191931502139
Empoli,1421.7185314434582
Sassuolo,1420.579307653985
Cadiz,1418.1223077992904
Bielefeld,1410.453629231422
St Etienne,1410.3746179033774
Nimes,1410.2375822247539
Spezia,1405.1428722855037
Venezia,1404.1115721697088
Metz,1400.8111842945093
Benevento,1399.6354331822101
Angers,1399.3041513506118
Bochum,1399.0058844140121
Las Palmas,1398.2731520730738
Bordeaux,1397.68259274467
Eibar,1393.4421494857045
Luton,1392.7901541569072
Elche,1392.1043610163183
Leeds,1391.8733821160977
West Brom,1391.3779686684084
Hertha,1388.3970862736967
Almeria,1385.1001286418064
Greuther Furth,1378.4223151227739
Schalke 04,1377.4536052527633
Ipswich,1376.239899445762
Burnley,1371.9746458710226
Ajaccio,1369.587428137801
Crotone,1368.6734507126869
Leicester,1367.0007687728266
Troyes,1364.1209724333532
Monza,1361.7589252114944
Paderborn,1359.5269468176145
Montpellier,1356.930772939911
Salernitana,1356.0597784274255
Brescia,1355.101262988452
Sampdoria,1354.4651041766508
Darmstadt,1353.7535653758496
Granada,1348.3848661496538
Dijon,1338.1452985227925
Watford,1321.8617302812388
Spal,1316.2779581046764
Norwich,1290.4789207752965
Valladolid,1284.8180503922542
Sheffield United,1283.046989396094
Southampton,1271.658053197083
