country_name,last_match_date,elo,matches,last10_form,last24m_goals_for,last24m_goals_ag
Asturias,1923-02-25,1507.4090777722706,1,0.0,0.0,0.0
Central Spain,1923-11-25,1498.4584148272459,2,0.0,0.0,0.0
Manchukuo,1942-08-09,1467.4421515866056,3,0.0,0.0,0.0
Saarland,1956-06-06,1475.4330020094878,9,0.0,0.0,0.0
North Vietnam,1970-09-20,1505.0396539011278,24,0.0,0.0,0.0
Vietnam Republic,1975-03-23,1411.4323656659021,195,0.0,0.0,0.0
Western Australia,1980-11-25,1396.7414224952527,32,0.0,0.0,0.0
South Yemen,1982-11-25,1467.381488438125,3,0.0,0.0,0.0
Niue,1983-08-22,1427.2228348083265,2,0.0,0.0,0.0
Yemen DPR,1989-11-05,1383.941965293921,25,0.0,0.0,0.0
German DR,1990-09-12,1678.6959217459396,298,0.0,0.0,0.0
Yugoslavia,1992-03-25,1805.656430780944,483,0.0,0.0,0.0
Czechoslovakia,1993-11-17,1748.1169800647535,520,0.0,0.0,0.0
Wallis Islands and Futuna,1995-08-20,1290.0579585837327,24,0.0,0.0,0.0
Palau,1998-08-01,1466.6432657090995,2,0.0,0.0,0.0
Sark,2003-07-03,1309.9275531948206,4,0.0,0.0,0.0
Micronesia,2003-07-07,1320.3861884999503,7,0.0,0.0,0.0
Chechnya,2006-02-18,1476.4584888889062,3,0.0,0.0,0.0
Republic of St. Pauli,2006-06-03,1483.9048805230475,4,0.0,0.0,0.0
Găgăuzia,2006-11-21,1426.143052290382,3,0.0,0.0,0.0
Crimea,2006-11-25,1518.4485105773547,5,0.0,0.0,0.0
Silesia,2006-12-09,1505.1025552784938,8,0.0,0.0,0.0
Ambazonia,2007-06-07,1387.5433277399854,6,0.0,0.0,0.0
Canary Islands,2007-12-29,1505.5259511505512,4,0.0,0.0,0.0
Rhodes,2011-06-27,1612.0098924372824,18,0.0,0.0,0.0
Kiribati,2011-09-05,1219.9918499892376,11,0.0,0.0,0.0
Cilento,2011-12-29,1495.1993774263997,1,0.0,0.0,0.0
Saint Pierre and Miquelon,2012-09-28,1266.5465745341878,7,0.0,0.0,0.0
Brittany,2013-05-28,1503.9369518858448,12,0.0,0.0,0.0
