# FIFA Men's World Ranking snapshot for the 48 WC 2026 qualifiers.
# Source: https://www.fifa.com/en/rankings/men
# Snapshot date: approximate, late 2024 / early 2025. Refresh by replacing
# this file with current values from the FIFA rankings page.
# The country names match the FIFA Fantasy API spelling (data/raw/squads_*.parquet).
country,rank_points
Argentina,1886.0
Spain,1854.0
France,1852.0
England,1813.0
Belgium,1769.0
Brazil,1761.0
Netherlands,1759.0
Portugal,1772.0
Croatia,1717.0
Germany,1716.0
Morocco,1711.0
Switzerland,1660.0
USA,1648.0
Colombia,1644.0
Mexico,1646.0
Uruguay,1679.0
Japan,1652.0
Senegal,1645.0
IR Iran,1637.0
Korea Republic,1546.0
Austria,1545.0
Australia,1502.0
Türkiye,1496.0
Tunisia,1502.0
Saudi Arabia,1442.0
Algeria,1497.0
Côte d'Ivoire,1432.0
Egypt,1480.0
Norway,1473.0
Sweden,1465.0
Ecuador,1467.0
Czechia,1500.0
Scotland,1475.0
Canada,1505.0
Paraguay,1497.0
Iraq,1413.0
Ghana,1426.0
Uzbekistan,1419.0
Bosnia and Herzegovina,1432.0
South Africa,1418.0
Cabo Verde,1340.0
Panama,1349.0
Jordan,1244.0
New Zealand,1166.0
Qatar,1413.0
Haiti,1268.0
Curaçao,1218.0
Congo DR,1383.0
